iter	Passed	Remaining
407	5814	136688
408	5828	136669
409	5841	136634
410	5855	136609
411	5870	136611
412	5883	136578
413	5898	136584
414	5916	136651
415	5933	136702
416	5950	136754
417	5968	136819
418	5984	136844
419	6000	136874
420	6017	136909
421	6035	136984
422	6053	137064
423	6071	137115
424	6088	137171
425	6105	137220
426	6122	137260
427	6137	137254
428	6152	137257
429	6164	137186
430	6177	137156
431	6191	137137
432	6206	137128
433	6221	137141
434	6237	137147
435	6253	137173
436	6267	137159
437	6279	137097
438	6296	137128
439	6313	137181
440	6330	137212
441	6346	137231
442	6363	137291
443	6378	137281
444	6391	137228
445	6404	137199
446	6417	137154
447	6432	137160
448	6451	137232
449	6467	137247
450	6479	137196
451	6492	137150
452	6505	137101
453	6518	137068
454	6531	137015
455	6545	136990
456	6558	136958
457	6575	137000
458	6595	137095
459	6615	137196
460	6636	137325
461	6654	137379
462	6670	137398
463	6688	137460
464	6703	137462
465	6718	137454
466	6733	137455
467	6748	137447
468	6762	137434
469	6778	137441
470	6791	137393
471	6805	137378
472	6819	137354
473	6834	137355
474	6852	137402
475	6867	137412
476	6884	137449
477	6899	137434
478	6913	137426
479	6928	137413
480	6943	137417
481	6958	137400
482	6972	137383
483	6985	137337
484	7002	137369
485	7018	137389
486	7035	137431
487	7051	137455
488	7068	137488
489	7086	137528
490	7102	137552
491	7118	137568
492	7136	137612
493	7153	137662
494	7171	137702
495	7188	137731
496	7203	137739
497	7219	137753
498	7236	137791
499	7254	137826
500	7272	137892
501	7289	137916
502	7306	137948
503	7323	137982
504	7340	138021
505	7358	138072
506	7378	138151
507	7395	138180
508	7410	138182
509	7426	138198
510	7444	138236
511	7460	138250
512	7477	138275
513	7491	138262
514	7506	138244
515	7521	138251
516	7537	138248
517	7553	138264
518	7569	138281
519	7584	138271
520	7599	138260
521	7614	138248
522	7627	138215
523	7641	138180
524	7654	138151
525	7669	138133
526	7684	138134
527	7700	138136
528	7715	138132
529	7729	138106
530	7744	138097
531	7757	138068
532	7772	138054
533	7787	138043
534	7802	138037
535	7817	138033
536	7832	138031
537	7848	138042
538	7865	138053
539	7880	138061
540	7896	138064
541	7913	138087
542	7927	138074
543	7942	138060
544	7958	138061
545	7973	138058
546	7987	138041
547	8003	138042
548	8018	138032
549	8035	138061
550	8050	138058
551	8064	138036
552	8080	138037
553	8096	138046
554	8112	138050
555	8127	138054
556	8141	138029
557	8156	138021
558	8170	137992
559	8185	137984
560	8200	137973
561	8213	137940
562	8230	137958
563	8244	137942
564	8259	137931
565	8275	137932
566	8291	137948
567	8307	137948
568	8321	137924
569	8335	137898
570	8350	137885
571	8364	137862
572	8378	137848
573	8392	137821
574	8407	137813
575	8423	137822
576	8440	137834
577	8455	137827
578	8468	137786
579	8482	137771
580	8496	137745
581	8510	137723
582	8527	137736
583	8541	137718
584	8556	137708
585	8570	137688
586	8585	137681
587	8600	137658
588	8614	137643
589	8629	137627
590	8643	137611
591	8657	137590
592	8671	137556
593	8686	137557
594	8702	137556
595	8716	137526
596	8730	137502
597	8744	137490
598	8759	137475
599	8772	137442
600	8787	137421
601	8802	137416
602	8817	137410
603	8832	137405
604	8847	137385
605	8860	137351
606	8874	137326
607	8888	137303
608	8904	137308
609	8920	137324
610	8934	137297
611	8950	137304
612	8966	137304
613	8981	137301
614	8996	137284
615	9010	137260
616	9024	137237
617	9038	137214
618	9051	137181
619	9068	137190
620	9082	137179
621	9098	137172
622	9113	137172
623	9129	137172
624	9144	137168
625	9158	137138
626	9172	137113
627	9185	137084
628	9200	137064
629	9214	137048
630	9228	137022
631	9243	137017
632	9258	137005
633	9272	136988
634	9287	136970
635	9301	136946
636	9315	136930
637	9331	136926
638	9345	136905
639	9359	136886
640	9374	136880
641	9388	136854
642	9403	136834
643	9416	136803
644	9430	136773
645	9444	136756
646	9460	136756
647	9476	136769
648	9492	136771
649	9509	136785
650	9526	136802
651	9544	136837
652	9562	136871
653	9579	136892
654	9593	136872
655	9607	136844
656	9622	136834
657	9635	136800
658	9649	136778
659	9665	136783
660	9679	136762
661	9695	136761
662	9709	136736
663	9723	136712
664	9738	136701
665	9752	136675
666	9764	136636
667	9778	136606
668	9792	136580
669	9806	136556
670	9821	136548
671	9836	136541
672	9852	136539
673	9867	136534
674	9880	136503
675	9895	136483
676	9909	136465
677	9923	136438
678	9937	136416
679	9952	136411
680	9967	136395
681	9982	136385
682	9995	136355
683	10010	136338
684	10024	136320
685	10037	136287
686	10052	136271
687	10066	136248
688	10081	136243
689	10096	136223
690	10110	136206
691	10123	136175
692	10138	136156
693	10152	136135
694	10167	136127
695	10181	136110
696	10197	136107
697	10212	136104
698	10227	136089
699	10242	136076
700	10256	136050
701	10270	136028
702	10284	136012
703	10300	136006
704	10314	135996
705	10330	135988
706	10344	135974
707	10363	136015
708	10380	136032
709	10396	136027
710	10411	136027
711	10428	136037
712	10443	136029
713	10458	136020
714	10475	136028
715	10490	136026
716	10504	136002
717	10519	135992
718	10533	135966
719	10547	135951
720	10562	135931
721	10576	135916
722	10591	135902
723	10607	135905
724	10624	135920
725	10640	135920
726	10654	135900
727	10667	135868
728	10682	135860
729	10697	135844
730	10714	135857
731	10728	135835
732	10743	135828
733	10758	135809
734	10773	135802
735	10788	135796
736	10804	135793
737	10820	135797
738	10836	135806
739	10852	135807
740	10869	135812
741	10882	135783
742	10897	135771
743	10913	135769
744	10928	135758
745	10942	135742
746	10956	135718
747	10971	135704
748	10986	135697
749	11004	135716
750	11018	135700
751	11033	135693
752	11050	135698
753	11066	135705
754	11081	135695
755	11096	135677
756	11110	135663
757	11125	135644
758	11140	135634
759	11154	135619
760	11169	135603
761	11184	135598
762	11202	135620
763	11217	135614
764	11232	135603
765	11249	135604
766	11265	135612
767	11282	135626
768	11297	135616
769	11314	135621
770	11328	135608
771	11344	135609
772	11360	135602
773	11376	135610
774	11393	135618
775	11410	135627
776	11426	135637
777	11443	135642
778	11459	135645
779	11476	135654
780	11493	135666
781	11510	135686
782	11528	135704
783	11546	135726
784	11563	135737
785	11579	135745
786	11596	135751
787	11613	135760
788	11629	135765
789	11647	135788
790	11664	135795
791	11680	135802
792	11697	135817
793	11715	135833
794	11732	135841
795	11749	135853
796	11766	135868
797	11783	135878
798	11801	135896
799	11818	135916
800	11836	135930
801	11852	135938
802	11870	135959
803	11888	135976
804	11906	135996
805	11922	136002
806	11940	136019
807	11956	136022
808	11972	136022
809	11987	136010
810	12002	135993
811	12016	135967
812	12035	135997
813	12053	136020
814	12069	136027
815	12085	136026
816	12099	136001
817	12114	135978
818	12128	135958
819	12143	135944
820	12157	135924
821	12172	135910
822	12188	135913
823	12205	135914
824	12220	135911
825	12236	135901
826	12251	135895
827	12267	135893
828	12286	135924
829	12304	135941
830	12321	135948
831	12337	135953
832	12353	135944
833	12368	135934
834	12385	135941
835	12401	135939
836	12416	135933
837	12433	135932
838	12449	135931
839	12465	135932
840	12480	135923
841	12497	135925
842	12513	135922
843	12530	135936
844	12547	135942
845	12560	135912
846	12574	135889
847	12592	135906
848	12607	135891
849	12623	135893
850	12639	135890
851	12655	135887
852	12672	135890
853	12689	135897
854	12704	135886
855	12719	135869
856	12734	135858
857	12750	135859
858	12766	135851
859	12782	135849
860	12798	135845
861	12813	135838
862	12829	135827
863	12845	135824
864	12860	135813
865	12877	135819
866	12893	135825
867	12908	135807
868	12923	135789
869	12938	135777
870	12953	135769
871	12971	135787
872	12986	135774
873	13002	135766
874	13018	135764
875	13035	135769
876	13051	135766
877	13066	135756
878	13081	135738
879	13096	135724
880	13111	135710
881	13127	135707
882	13143	135707
883	13159	135702
884	13175	135704
885	13192	135706
886	13209	135713
887	13226	135719
888	13241	135704
